Product Name,Product ID,Prod ID Code,Category Level 2,Price,Product Description,Store IDs
"Aerial 7 Phoenix, Soldier, On Ear Headphone",,,Audio,,6 months against manufacturing defects only,BIZID001
Akai MMS2400USFR 2.1 Channel Amplifier Home Theatre System (Black),,,Audio,,"2400 watts PMPO with wooden cabinets for realistic bass effectFM radio and card reader with USBCompatible with DVD/VCD/PC/TV/WALKY/Audio systemSpeaker system with built-in 2.1 channel amplifierPower on/off, volume and bass controlsMagnetically shielded 2 satellite speakers",BIZID002
Akai MMS6100USFR 5.1 Channel Amplifier Home Theatre System (Black),,,Audio,,6100 watts PMPO with wooden cabinets for realistic bass effectFM radio and card reader with USBCompatible with DVD/VCD/PC/TV/WALKY/Audio system20 track CD programmableBuilt-in 5.1 channel amplifierFull function remote control,BIZID003
Akai MMS9000USFR 5.1 Channel Amplifier Home Theatre System (Black),,,Audio,,9000 watts PMPO with wooden cabinets for realistic bass effectFM radio and card reader with USBCompatible with DVD/VCD/PC/TV/WALKY/Audio systemBuilt-in 5.1 channel amplifierFull function remote controlPowerful speakers to deliver best acoustic effect,BIZID004
Akai Smart Box (Black),,,Audio,,Convert any TV into smart TV with Anroid operating systemUnlimited internet browsing with 1.2 GHz CPU processor with built-in Wi-fi and ethernet portCreats Wi-Fi hot spot,BIZID005
Alcatel 29339 Corded Phone with Caller ID Speaker (Black),,,Audio,,"Caller ID speaker, backlit displayIlluminated LCDSpeaker volume controlAlphanumerical displayTone/pulse switchable dialingRinger volume control",BIZID006
Alcatel 29446 Corded Phone with Caller ID Speaker (Black),,,Audio,,Caller ID speaker10 one touch memoryBacklit display,BIZID007
Ambrane SP20 USB Speaker (Blue),,,Audio,,USB connectivityWeighing 0.5kgFrequency response 120Hz to 20kHz,BIZID001
Ambrane SP-40 USB Speaker (Blue),,,Audio,,"USB connectivityTrendy designRMS 2.5 watts and 2.5 watts, with 45dB",BIZID002
Amkette Trubeats Air Bluetooth Wireless Headset (Blue),,,Audio,,"Extreme light weight and behind-the-head designOpti fit soft ear buds to eliminate unwanted background noiseFinely tuned and angled acoustic pipes for enthralling stereo musicEvenly balanced, full range of frequencies for all round listening pleasureWith sensitive omni-directional mic, volume, call and track controls all integrated into the headphone, there is no need to take out your mobile phone to receive calls or manage your musicRechargeable Li-ion batteries provide over 6 hours of  non-stop wireless music",BIZID003
