Word,CategoryL2
Indoor,Hard Furniture
Indoor,Bed Items
Indoor,Interior Décor
Indoor,Kitchen Items
Indoor,Bathroom Fixtures
Indoor,Indoor Flooring
Indoor,Home Needs and Supplies
Outdoor,Gardening Equipment and Tools
Outdoor,Outdoor Furniture
Outdoor,Outdoor Décor
Outdoor,Gardening Supplies
Outdoor,Outdoor Flooring
Outdoor,Outdoor Living
Electrical and Hardware,Hardware Tools and Devices
Electrical and Hardware,Lighting 
Electrical and Hardware,Hardware Supplies
Electrical and Hardware,Paint
Electrical and Hardware,Electrical Appliances
Electrical and Hardware,Switches and Plugs
Electrical and Hardware,Micro Spares and Accessories
Electrical and Hardware,Hardware Fixtures
Electrical and Hardware,Energy
Travel,Luggage
Travel,Back Packs
Travel,Travel Equipments
Travel,Travel Accessories
Electronics,Television
Electronics,Video
Electronics,Audio
Electronics,Home Appliance
Electronics,Video Games
Electronics,Camera
Electronics,Car and Vehicle
Electronics,Personal Care Equipments
Electronics,Security and Surveillance
Electronics,Accessories
Electronics,Blank Media
Industrial Equpiment,Mechanical Equipment
Industrial Equpiment,Building Equpiment
Industrial Equpiment,Energy Equipment
Mobile and Computer,Mobile and Tablets
Mobile and Computer,Personal Computers
Mobile and Computer,Mobile Accessories
Mobile and Computer,Mobile and Computer Components
Mobile and Computer,Peripherals and Accessories
Mobile and Computer,Network
