Word,Keyword,CategoryL1
baby,Generic,Bathroom
childrens,Generic,Bathroom
non,Generic,Bathroom
bath,Specific,Bathroom
bathroom,Specific,Bathroom
countertop,Generic,Bathroom
lighted,Generic,Bathroom
nonslip,Generic,Bathroom
bathmats,Specific,Bathroom
bathtub,Specific,Bathroom
drain,Generic,Bathroom
splash,Generic,Bathroom
cosmetics,Generic,Bathroom
canisters,Generic,Bathroom
cup,Generic,Bathroom
dispensers,Generic,Bathroom
lotion,Generic,Bathroom
shower,Specific,Bathroom
soap,Generic,Bathroom
tissue,Generic,Bathroom
toilet,Generic,Bathroom
toothbrush,Generic,Bathroom
vanity,Generic,Bathroom
medicine,Generic,Bathroom
digital,Generic,Bathroom
mechanical,Generic,Bathroom
shower,Specific,Bathroom
showerheads,Specific,Bathroom
fixed,Generic,Bathroom
handqa,Generic,Bathroom
showerhead,Specific,Bathroom
toilet,Generic,Bathroom
towel,Specific,Bathroom
free,Generic,Bathroom
wall,Generic,Bathroom
mounted,Generic,Bathroom
towels,Specific,Bathroom
beach,Generic,Bathroom
fingertip,Generic,Bathroom
washcloths,Specific,Bathroom
sports,Generic,Bathroom
bathing,Specific,Bathroom
slip,Generic,Bathroom
linen,Generic,Bathroom
rugs,Generic,Bathroom
accessories,Generic,Bathroom
accessory,Generic,Bathroom
mirrors,Generic,Bathroom
appliques,Generic,Bathroom
valets,Generic,Bathroom
catches,Generic,Bathroom
stoppers,Generic,Bathroom
guards,Generic,Bathroom
organizers,Generic,Bathroom
trays,Generic,Bathroom
holders,Generic,Bathroom
dishes,Generic,Bathroom
paper,Generic,Bathroom
tumblers,Generic,Bathroom
cabinets,Generic,Bathroom
scales,Generic,Bathroom
caddies,Generic,Bathroom
radios,Generic,Bathroom
squeegees,Specific,Bathroom
curtain,Generic,Bathroom
curtains,Generic,Bathroom
held,Generic,Bathroom
body,Generic,Bathroom
water,Generic,Bathroom
brushes,Generic,Bathroom
lid,Generic,Bathroom
plungers,Generic,Bathroom
bars,Generic,Bathroom
racks,Generic,Bathroom
standing,Generic,Bathroom
rings,Generic,Bathroom
stands,Generic,Bathroom
warmers,Generic,Bathroom
waste,Generic,Bathroom
furniture,Generic,Bathroom
sheets,Generic,Bathroom
sets,Generic,Bathroom
fan,Generic,Bathroom
seats,Generic,Bathroom
safety,Generic,Bathroom
dryers,Generic,Bathroom
storage,Generic,Bathroom
stall,Generic,Bathroom
decorative,Generic,Bathroom
liners,Generic,Bathroom
rods,Generic,Bathroom
roller,Generic,Bathroom
sprayers,Specific,Bathroom
filters,Generic,Bathroom
covers,Generic,Bathroom
hooks,Generic,Bathroom
bins,Generic,Bathroom
shelves,Generic,Bathroom
mats,Generic,Bathroom
containers,Generic,Bathroom
balls,Generic,Bathroom
tank,Specific,Bathroom
tubs,Specific,Bathroom
bed,Specific,Bed
acid,Generic,Bed
body,Generic,Bed
hypoallergenic,Generic,Bed
leg,Generic,Bed
lumbar,Generic,Bed
maternity,Generic,Bed
neck,Generic,Bed
reading,Generic,Bed
snore,Generic,Bed
specialty,Generic,Bed
temperature,Generic,Bed
travel,Generic,Bed
bedding,Specific,Bed
comforter,Specific,Bed
down,Generic,Bed
mattress,Specific,Bed
sheet,Specific,Bed
twin,Generic,Bed
bedspreads,Specific,Bed
electric,Generic,Bed
throw,Generic,Bed
comforters,Specific,Bed
duvet,Specific,Bed
featherbed,Specific,Bed
water,Generic,Bed
feather,Generic,ID
baffled,Generic,Bed
pillow,Specific,Bed
quilt,Specific,Bed
fiberbeds,Specific,Bed
inflatable,Generic,Bed
childrens,Generic,Bed
slumber,Generic,Bed
fitted,Generic,Bed
foam,Generic,Bed
sofa,Generic,Bed
waterbed,Specific,Bed
nursery,Generic,Bed
bassinet,Generic,Bed
toddler,Generic,Bed
cradle,Generic,Bed
crib,Generic,Bed
baby,Generic,Bed
playard,Generic,Bed
